CAMPUS,YEAR,CA0AD00R,CA0AD99R,CA0AT00R,CA0AT99R,CA0CA00R,CA0CA99R,CA0CC00R,CA0CC99R,CA0CS00R,CA0CS99R,CA0CT00R,CA0CT99R,CA0DR00R,CA0DR99R,CA0GH00R,CA0GH99R,CB0AD00R,CB0AD99R,CB0AT00R,CB0AT99R,CB0CA00R,CB0CA99R,CB0CC00R,CB0CC99R,CB0CS00R,CB0CS99R,CB0CT00R,CB0CT99R,CB0DR00R,CB0DR99R,CB0GH00R,CB0GH99R,CE0AD00R,CE0AD99R,CE0AT00R,CE0AT99R,CE0DR00R,CE0DR99R,CE0GH00R,CE0GH99R,CF0AD00R,CF0AD99R,CF0AT00R,CF0AT99R,CF0CA00R,CF0CA99R,CF0CC00R,CF0CC99R,CF0CS00R,CF0CS99R,CF0CT00R,CF0CT99R,CF0DR00R,CF0DR99R,CF0GH00R,CF0GH99R,CH0AD00R,CH0AD99R,CH0AT00R,CH0AT99R,CH0CA00R,CH0CA99R,CH0CC00R,CH0CC99R,CH0CS00R,CH0CS99R,CH0CT00R,CH0CT99R,CH0DR00R,CH0DR99R,CH0GH00R,CH0GH99R,CI0AD00R,CI0AD99R,CI0AT00R,CI0AT99R,CI0CA00R,CI0CA99R,CI0CC00R,CI0CC99R,CI0CS00R,CI0CS99R,CI0CT00R,CI0CT99R,CI0DR00R,CI0DR99R,CI0GH00R,CI0GH99R,CM0AD00R,CM0AD99R,CM0AT00R,CM0AT99R,CM0CA00R,CM0CA99R,CM0CC00R,CM0CC99R,CM0CS00R,CM0CS99R,CM0CT00R,CM0CT99R,CM0DR00R,CM0DR99R,CM0GH00R,CM0GH99R,CP0AD00R,CP0AD99R,CP0AT00R,CP0AT99R,CP0CA00R,CP0CA99R,CP0CC00R,CP0CC99R,CP0CS00R,CP0CS99R,CP0CT00R,CP0CT99R,CP0DR00R,CP0DR99R,CP0GH00R,CP0GH99R,CS0AD00R,CS0AD99R,CS0AT00R,CS0AT99R,CS0DR00R,CS0DR99R,CS0GH00R,CS0GH99R,CW0AD00R,CW0AD99R,CW0AT00R,CW0AT99R,CW0CA00R,CW0CA99R,CW0CC00R,CW0CC99R,CW0CS00R,CW0CS99R,CW0CT00R,CW0CT99R,CW0DR00R,CW0DR99R,CW0GH00R,CW0GH99R,GA0AD00R,GA0AD99R,GA0AT00R,GA0AT99R,GA0CA00R,GA0CA99R,GA0CC00R,GA0CC99R,GA0CS00R,GA0CS99R,GA0CT00R,GA0CT99R,GA0DR00R,GA0DR99R,GA0GH00R,GA0GH99R
'001902001,2001,32.3,29.4,96.4,95.8,21.9,21.2,22.7,16.7,978,982,62.9,60,1.8,1.4,65.9,45.5,27.8,11.8,98.1,97.2,.,.,.,.,.,.,.,.,0,0,.,60,33.3,14.3,96,94.2,2.8,0,60,60,41.2,39.2,96.5,95.2,22.4,21.8,27.3,16.7,995,996,68.8,75,1.9,1.9,75,39.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.8,19.6,96.2,96.3,21.3,19.6,18.2,16.7,960,.,57.9,37.5,1.8,0.9,60,56.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,96.4,95.5,2.4,0,16.7,.,31.4,30.6,96.2,95.6,21.9,21.6,26.3,18.2,973,993,59.4,57.9,1.5,1.1,63.2,43.6,16.1,17.1,95.6,94.9,20.9,20.9,26.7,25,1001,997,66.4,64,0.6,1,45.1,9.7
'001902041,2001,.,.,97.7,97.2,.,.,.,.,.,.,.,.,0,0,.,.,.,.,98.4,98,.,.,.,.,.,.,.,.,0,0,.,.,.,.,97.1,96,0,0,.,.,.,.,98.1,97.4,.,.,.,.,.,.,.,.,0,0,.,.,.,.,97.6,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.3,97.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,96.3,0,0,.,.,.,.,97.5,97,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96.4,96.2,.,.,.,.,.,.,.,.,0,0,.,.
'001902103,2001,.,.,97.4,96.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.2,98.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97,95.1,.,.,.,.,.,.,97.4,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.7,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.4,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.8,95.6,.,.,.,.,.,.,97.2,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.8,.,.,.,.,.,.,.,.,.,.,.,.
'001903001,2001,17.1,18.8,95.6,94.7,21.8,21,31,21.6,1011,994,53.7,69.8,3.2,2.2,42.9,0,10,19.2,95.3,96,.,.,.,.,.,.,.,.,4.8,3.3,.,0,15.6,9.5,94.7,93.9,2.9,2.1,23.1,0,20.4,20.7,94.9,93.8,21.3,19,27.3,17.6,998,973,42.3,81,2.5,1.2,41.9,0,0,14.3,96.8,96.3,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.3,17.4,96.2,95.4,22.2,22.4,33.3,25,1018,1009,64.3,62.5,3.9,2.9,43.8,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.8,3.8,93.4,91.6,3.3,6,0,0,18,18.6,95.6,94.5,21.8,20.5,28.6,21.2,1005,992,54.9,68.8,3.2,2.1,45,0,12.6,14.9,95.6,95.3,20.4,20.4,25,20.8,988,976,60.9,63.4,0.6,0.9,34.4,0.3
'001903041,2001,.,.,96.4,96.3,.,.,.,.,.,.,.,.,0,0,.,.,.,.,97.7,97.3,.,.,.,.,.,.,.,.,0,0,.,.,.,.,95.9,95.1,0,0,.,.,.,.,96.5,96.4,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96.7,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.2,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,96.2,0,0,.,.,.,.,96.3,96.1,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96.7,96.2,.,.,.,.,.,.,.,.,0,0,.,.
'001903101,2001,.,.,96.6,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.1,95.9,.,.,.,.,.,.,96.3,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,95.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.1,95.9,.,.,.,.,.,.,96.7,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,97,.,.,.,.,.,.,.,.,.,.,.,.
'001904001,2001,13.9,15.8,96.3,96.7,20.8,18.4,28.6,17.4,933,912,42.4,53.5,0.8,0.4,0,0,6.9,21.7,97.5,97.5,.,.,.,.,.,.,16.7,.,0,0,0,.,10.1,12.7,95.1,95.7,0,0,0,.,17.5,25.5,96.2,96.9,.,18,36.4,8.3,987,897,47.8,75,0.8,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.5,8.1,96.3,96.5,.,18.8,.,27.3,.,930,30,40.7,0.7,0.7,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.8,18.9,95.1,95.9,1.9,2.5,0,0,15,14.9,96.1,96.5,20.8,18.9,23.1,18.2,918,930,48.1,56.4,0.9,0.4,0,0,16.2,15.7,95.5,95,21.1,20.7,25.4,22.9,999,982,60.3,63.4,0.6,1,37.8,9
'001904041,2001,.,.,96.8,96.5,.,.,.,.,.,.,.,.,0,0,.,.,.,.,98.1,97.6,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96.4,96.2,0,0,.,.,.,.,96.5,96.7,.,.,.,.,.,.,.,.,0,0,.,.,.,.,98.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,96.4,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,95.3,0,0,.,.,.,.,96.6,96.3,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96.4,96.2,.,.,.,.,.,.,.,.,0,0,.,.
'001904102,2001,.,.,96.1,96.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.5,96,.,.,.,.,.,.,95.8,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96,98.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.2,95,.,.,.,.,.,.,96,96.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.8,96.8,.,.,.,.,.,.,.,.,.,.,.,.
'001906002,2001,0,8.2,94.9,95.1,.,22,37.5,30,1103,1057,47.1,52.6,0,0.6,0,0,0,11.1,95,92,.,.,.,.,.,.,.,.,0,0,.,.,0,0,94.5,93.7,0,0,.,0,0,9.7,94.6,93.9,.,21.6,20,20,.,.,71.4,83.3,0,1.5,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,7.4,95.2,96,.,.,.,40,.,1038,30,38.5,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,94.2,95.1,0,0,.,.,0,8,95,95.5,.,21.4,37.5,22.2,1103,1045,47.1,60,0,0.7,0,0,16.2,15.8,95.5,95.5,20.7,20.3,22.2,21.8,990,989,62.9,62.9,0.6,0.6,44.2,6.7
'001906102,2001,.,.,97.3,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.4,98.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.5,.,.,.,.,.,.,97.6,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,95.5,.,.,.,.,.,.,97.3,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.8,.,.,.,.,.,.,.,.,.,.,.,.
'001907001,2001,36.4,32.6,94.7,94.9,19.3,20.9,18.4,25.5,918,981,47.5,45.4,0.3,0.4,54.6,0,30.3,30.8,94.2,94.5,15.9,.,0,0,727,789,40.4,29.2,0.3,0.5,41.9,0,28.2,24.5,94,94,0.2,0.5,38.7,0,41.4,38.6,94.6,94.9,18.9,21.7,17.1,20,912,974,46.6,45.5,0.4,0.2,55.3,0,21.7,26.2,94.4,93.7,.,.,.,.,.,.,10.5,10,1.1,0.6,40,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31.3,26.3,94.8,94.9,19.6,20,20,31.3,925,988,48.6,45.3,0.2,0.7,53.9,0,50,60,97.7,.,.,.,.,.,.,.,.,.,0,0,.,.,16.5,12.4,92.6,93.5,0,0,0,0,45.7,35.3,95.1,95.4,21.6,21.5,25.5,30.9,998,1019,58.5,55.5,0,0.3,65.3,0,14.5,15.1,94.4,94.6,19.9,19.7,19.4,20.4,959,963,58.7,58,1.5,1.4,40.5,0
'001907041,2001,.,.,96.1,95.9,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96.3,96.6,.,.,.,.,.,.,.,.,0,0,.,.,.,.,95.8,95.5,0,0,.,.,.,.,95.8,96,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96.1,94.8,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.3,95.8,.,.,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.7,94.3,0,0,.,.,.,.,95.8,95.8,.,.,.,.,.,.,.,.,0,0,.,.,.,.,96,95.9,.,.,.,.,.,.,.,.,0,0,.,.
'001907042,2001,.,.,97.2,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97,97.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97,96.7,.,.,.,.,.,.,97.3,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.8,96.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97,97.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,95.9,.,.,.,.,.,.,97,96.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.6,96,.,.,.,.,.,.,.,.,0,0,.,.
'001907101,2001,.,.,96.7,96.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.6,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,96.5,.,.,.,.,.,.,96.5,96.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.3,97.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.8,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,95.8,.,.,.,.,.,.,96.4,96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.5,.,.,.,.,.,.,.,.,.,.,.,.
'001907104,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907107,2001,.,.,97.1,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.2,97.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,96.8,.,.,.,.,.,.,97,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.2,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.3,97.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.4,96.4,.,.,.,.,.,.,96.9,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.2,96.1,.,.,.,.,.,.,.,.,.,.,.,.
'001907110,2001,.,.,97,96.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.6,97.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.9,96.9,.,.,.,.,.,.,96.8,96.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.3,97.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97.1,96.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.7,95.5,.,.,.,.,.,.,96.3,96.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,96.5,96.3,.,.,.,.,.,.,.,.,.,.,.,.
'001908002,2001,9.7,14.7,94.4,93.9,18.7,21.1,16.7,21.2,923,983,31.3,44.6,0.7,2,28.3,1.1,10.8,9.9,95.3,94.4,.,.,.,.,.,.,25,25,1.4,2.6,42.9,0,6.4,10.2,94.2,92.1,0,1.7,20,0,12.6,20.7,94.1,93.7,18.6,20.9,20,23.5,941,988,37,39.5,0.7,1.4,36.2,0,3.1,7.1,93.5,94,.,.,.,.,.,.,.,.,0,8.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.6,8.6,94.7,94,.,21.4,10,18.8,879,978,23.8,51.6,0.7,2.5,18.8,2.3,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,1.1,2.6,93.6,92,1,0,0,6.3,9.9,16,94.3,93.8,19.2,21.4,16,23.3,902,986,31.3,47.6,0.4,1.4,25,1.3,18.4,16.7,95.4,95.4,20.1,21,22.2,24.3,1002,995,60.5,68.5,0.7,1.1,37.3,2.8
