DA0708DR06R,DA0712DR06R,DA0912DR06R,DA0AD05R,DA0AD06R,DA0AT05R,DA0AT06R,DA0BK05R,DA0BK06R,DA0BS05R,DA0BS06R,DA0BT05R,DA0BT06R,DA0EL06R,DA0EL07R,DA0GH05R,DA0GH06R,DB0708DR06R,DB0712DR06R,DB0912DR06R,DB0AD05R,DB0AD06R,DB0AT05R,DB0AT06R,DB0BK05R,DB0BK06R,DB0BS05R,DB0BS06R,DB0BT05R,DB0BT06R,DB0EL06R,DB0EL07R,DB0GH05R,DB0GH06R,DE0708DR06R,DE0712DR06R,DE0912DR06R,DE0AD05R,DE0AD06R,DE0AT05R,DE0AT06R,DE0EL06R,DE0EL07R,DE0GH05R,DE0GH06R,DF0708DR06R,DF0712DR06R,DF0912DR06R,DF0AD05R,DF0AD06R,DF0AT05R,DF0AT06R,DF0BK05R,DF0BK06R,DF0BS05R,DF0BS06R,DF0BT05R,DF0BT06R,DF0EL06R,DF0EL07R,DF0GH05R,DF0GH06R,DH0708DR06R,DH0712DR06R,DH0912DR06R,DH0AD05R,DH0AD06R,DH0AT05R,DH0AT06R,DH0BK05R,DH0BK06R,DH0BS05R,DH0BS06R,DH0BT05R,DH0BT06R,DH0EL06R,DH0EL07R,DH0GH05R,DH0GH06R,DI0708DR06R,DI0712DR06R,DI0912DR06R,DI0AD05R,DI0AD06R,DI0AT05R,DI0AT06R,DI0BK05R,DI0BK06R,DI0BS05R,DI0BS06R,DI0BT05R,DI0BT06R,DI0EL06R,DI0EL07R,DI0GH05R,DI0GH06R,DISTRICT,DL0708DR06R,DL0712DR06R,DL0912DR06R,DL0AD05R,DL0AD06R,DL0AT05R,DL0AT06R,DL0EL06R,DL0EL07R,DL0GH05R,DL0GH06R,DM0708DR06R,DM0712DR06R,DM0912DR06R,DM0AD05R,DM0AD06R,DM0AT05R,DM0AT06R,DM0BK05R,DM0BK06R,DM0BS05R,DM0BS06R,DM0BT05R,DM0BT06R,DM0EL06R,DM0EL07R,DM0GH05R,DM0GH06R,DP0708DR06R,DP0712DR06R,DP0912DR06R,DP0AD05R,DP0AD06R,DP0AT05R,DP0AT06R,DP0BK05R,DP0BK06R,DP0BS05R,DP0BS06R,DP0BT05R,DP0BT06R,DP0EL06R,DP0EL07R,DP0GH05R,DP0GH06R,DR0708DR06R,DR0712DR06R,DR0912DR06R,DR0AD05R,DR0AD06R,DR0AT05R,DR0AT06R,DR0EL06R,DR0EL07R,DR0GH05R,DR0GH06R,DS0708DR06R,DS0712DR06R,DS0912DR06R,DS0AD05R,DS0AD06R,DS0AT05R,DS0AT06R,DS0EL06R,DS0EL07R,DS0GH05R,DS0GH06R,DW0708DR06R,DW0712DR06R,DW0912DR06R,DW0AD05R,DW0AD06R,DW0AT05R,DW0AT06R,DW0BK05R,DW0BK06R,DW0BS05R,DW0BS06R,DW0BT05R,DW0BT06R,DW0EL06R,DW0EL07R,DW0GH05R,DW0GH06R,YEAR
0,1.3,2.2,40,39.4,96.6,96.4,.,.,.,.,0,0,-1,-1,67.6,59.3,0,4,6.9,45.5,37,97.7,97.9,.,.,.,.,0,0,-1,-1,-1,80,0,3.1,5.8,21.9,33.3,95.9,95.7,-1,-1,-1,62.5,0,0,0,49.4,48.1,96.7,96.6,.,.,.,.,0,0,-1,-1,75,92.9,0,0,0,62.5,66.7,97.1,97,.,.,.,.,0,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,-1,.,.,.,.,.,.,-1,-1,.,.,'001902,.,-1,-1,.,.,-1,-1,-1,-1,.,.,0,2.6,4.3,29.6,30.4,96.4,96.2,.,.,.,.,0,0,-1,-1,58.8,23.1,-1,-1,.,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,0,2.2,3.7,31.9,17.9,96.8,96.2,-1,-1,-1,-1,0,3.7,5,5.7,3.1,95.2,95.5,-1,-1,0,-1,0,0.9,1.4,37.9,38.6,96.4,96.1,.,.,.,.,0,0,-1,-1,65.6,50,2007
0,0.6,0.9,13.5,15.6,95.9,95.9,43.8,28.6,47.6,20,12,4.9,-1,80,48,54.3,0,0,0,0,8,96.7,95.2,.,.,.,.,0,0,-1,-1,42.9,60,0,0,0,5.1,6,95.6,95.3,-1,-1,42.9,38.1,0,0.7,1,17,19.1,95.8,96,40,33.3,45.5,22.2,14.3,8.2,-1,-1,54.1,79.4,0,0,0,9.5,5.9,96.1,95.4,-1,.,-1,.,14.3,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,'001903,-1,-1,-1,-1,-1,-1,96.1,-1,-1,.,.,0,0.6,0.9,10.3,12.6,96,95.8,50,-1,50,-1,9.5,1.4,-1,-1,42.1,36.2,.,0,0,-1,-1,-1,-1,.,.,.,.,.,-1,-1,-1,.,.,0,2,2.9,5.3,9.6,95.8,95.4,-1,-1,17.9,40,0,0.7,0.9,2.3,2.3,94.9,94.8,-1,-1,11.8,0,0,0.8,1.1,14.9,16.5,95.8,96,40,16.7,47.4,11.1,12.6,4.6,-1,-1,48.4,53.3,2007
0,0,0,21.3,20.6,96.5,96.3,8,12.5,5.9,9.7,25.5,27.9,44,50,71.4,72.1,0,0,0,8.8,3.4,97.1,96.4,.,-1,.,-1,0,16.7,-1,-1,30,60,0,0,0,9.7,12.3,96.2,96.2,44,50,40,61.1,0,0,0,24.3,23.1,96.2,96.2,8.3,7.7,7.1,6.3,25,35.1,50,71,83.9,87.5,0,0,0,30,8.3,97,96.7,-1,.,-1,.,14.3,0,44,50,-1,-1,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,-1,.,.,'001904,0,0,-1,.,-1,97.7,97.4,33,50,.,.,0,0,0,19,18.7,96.6,96.4,7.7,18.2,5,13.3,26,22.4,40,38,59.4,62.2,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,.,-1,0,0,0,6.8,7.3,96.2,96.3,38,50,59.1,61.5,0,0,0,14,2.3,96.2,95.6,-1,20,0,9.1,0,0,0,23.1,24,96.3,96.3,8.3,13,6.1,10,28.9,31.1,-1,-1,79.6,71.2,2007
0,1.8,3,18.8,10.9,96.5,96.5,.,.,.,.,0,0,.,.,53.3,77.3,0,0,0,12.5,0,97.5,98,.,.,.,.,-1,-1,.,.,-1,-1,0,1.8,2.9,6.9,0,95.9,95.9,.,.,50,.,0,1.3,2,29.7,12.5,96.5,96.5,.,.,.,.,0,0,.,.,-1,90.9,-1,0,-1,.,-1,95.5,96.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,'001906,.,.,.,.,.,.,.,.,.,.,.,0,2.2,3.8,9.3,9.1,96.5,96.4,.,.,.,.,0,0,.,.,45.5,63.6,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,0,3.3,4.8,10.7,0,95.6,95.8,.,.,42.9,-1,0,4.2,6.5,0,3.6,95.3,95,.,.,-1,-1,0,2.1,3.3,19.4,12,96.4,96.3,.,.,.,.,0,0,.,.,58.3,76.2,2007
1.9,3.1,3.7,11.3,11.8,95.8,95.1,80.7,67.7,63.6,55.8,9.4,9.8,70,74,78.7,80.2,1.7,3.3,4.1,1.9,3.4,96,95.5,-1,-1,-1,-1,1.3,1.4,-1,-1,69.6,69.8,1.1,2.3,3.1,4.7,5,95.8,95.3,71,73,69,71.9,1.8,3.3,4.1,12.5,10.4,95.6,95.1,82.4,64.3,66.7,41.7,10,8.5,67,72,82.6,87.4,2.2,3.8,4.9,9.2,12,96.5,95.9,100,80,80,40,9.2,6.4,70,73,65.7,81.4,-1,0,0,-1,40,95.4,93.3,.,.,.,.,-1,-1,-1,-1,.,-1,'001907,5,8.2,10.3,11.5,7.4,96.9,96.4,70,71,100,-1,2.1,2.9,3.4,10.2,13.2,95.9,95.1,78.6,70.6,60.7,67.9,8.8,11.3,72,76,74.7,72.8,-1,7.1,9.1,25,33.3,97.9,95.7,-1,.,-1,.,-1,0,-1,-1,-1,-1,2.3,3.4,4,3.4,5.9,95,94.6,70,67,77.3,79.8,1,2.6,3.4,0,0.8,94.4,93,-1,-1,3.8,4.2,2,2.5,2.8,17.8,16.2,95.1,94.2,76.2,68,63.2,61,12.4,15.9,-1,-1,88.6,84.7,2007
1.4,1.3,1.2,10.5,11.1,96,95.5,-1,44.4,-1,44.4,0.5,4.6,70,53,44.8,50.5,2.2,2,1.9,3.4,4.3,96.9,96.1,.,.,.,.,0,0,-1,-1,37.5,23.5,0.8,0.7,0.6,7.6,5.6,95.8,95.6,57,48,33.3,38.9,0.7,1.4,1.7,9.8,13.1,95.8,95.2,-1,57.1,-1,57.1,1,6.2,75,50,55.3,56.5,0,1.1,1.7,8.9,3.8,96.7,96.1,.,.,.,.,0,0,71,50,60,66.7,-1,-1,.,-1,.,-1,-1,.,.,.,.,-1,.,-1,-1,.,.,'001908,.,-1,-1,.,-1,97.2,97,64,53,.,.,2.1,1.1,0.7,11.2,9.2,96.1,95.8,.,-1,.,-1,0,2.4,67,56,36.2,42.6,-1,-1,-1,-1,-1,97.8,98.3,.,.,.,.,-1,-1,-1,-1,.,-1,0,1.2,1.5,5.9,6.6,95.6,95.2,65,50,22.6,29.8,3.8,1.1,0,0,1,95,94.8,-1,17,0,7.4,1.5,1.1,0.9,11.9,13.5,95.6,95.2,-1,44.4,-1,44.4,0.7,6,-1,-1,44.3,54.1,2007
0,3.8,5.5,3.4,4.8,96.5,97.1,.,.,.,.,0,0,.,-1,50,45.5,.,-1,-1,-1,-1,92.4,96.5,.,.,.,.,-1,-1,.,-1,.,-1,0,4.4,6.9,0,1.9,96.1,96.8,.,-1,-1,22.2,0,1.2,1.8,3.7,7.1,96.6,97.3,.,.,.,.,0,0,.,-1,55.6,72.7,-1,0,-1,0,-1,97.7,96.7,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,'001909,.,.,.,.,.,-1,-1,.,-1,.,.,0,6,8.5,3.1,2.9,96.5,96.9,.,.,.,.,0,0,.,-1,44.4,18.2,.,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,.,-1,.,.,0,2.9,3.6,0,0,95.9,96.4,.,-1,-1,33.3,0,7,9.8,0,0,96.5,96.4,.,-1,-1,0,0,4,5.8,3.7,5,96.6,97.2,.,.,.,.,0,0,.,-1,50,47.6,2007
0.2,2.3,3.3,18.5,20.1,95.9,95.5,-1,-1,-1,-1,0.3,0.3,60,67,63.6,68,0,0,0,5.3,20,96,95.3,.,.,.,.,0,0,-1,-1,60,-1,0,2.2,3.7,5.4,7.1,95.7,95.2,60,65,65.7,42.1,0.5,1,1.3,21.2,22.9,96,95.5,-1,-1,-1,-1,0.6,0.6,69,73,63.6,76.8,0,2.5,3.7,10.6,10.8,96,95.5,.,.,.,.,0,0,60,66,56.3,62.5,-1,-1,.,.,.,-1,95.3,.,.,.,.,.,-1,-1,-1,.,.,'002901,0,1.4,2.6,2.4,0,96.2,95.5,46,53,-1,-1,0,3.4,5.1,16.3,17.6,95.8,95.4,.,.,.,.,0,0,54,63,63.6,60.6,-1,0,0,77.8,70,98.6,98.7,.,.,.,.,-1,-1,-1,-1,-1,-1,0,2.8,3.9,5.8,7.6,95.4,94.8,53,59,50,52.3,0,3.1,4.7,4.2,0.7,94.9,94.5,27,32,16.7,4.8,0.5,2.3,3,26.9,30.1,95.7,95.4,-1,-1,-1,-1,0.5,0.6,-1,-1,70.2,73.2,2007
0,0,.,.,.,95.7,95.5,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,.,96.3,96,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,95.1,94.9,-1,-1,.,.,0,0,.,.,.,96,95.1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,.,95.9,95,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,'003801,.,.,.,.,.,.,-1,-1,-1,.,.,0,0,.,.,.,95.5,95.9,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,.,99,-1,.,.,.,.,.,.,-1,-1,.,.,0,0,.,.,.,94.7,94.6,-1,-1,.,.,0,0,.,.,.,94.7,95.6,-1,-1,.,.,0,0,.,.,.,95.4,95.3,.,.,.,.,.,.,-1,-1,.,.,2007
0,1.5,2.4,16.9,11.3,96.1,96.3,52.4,37.2,52.1,39,14.5,16.7,76,74,60.4,71,0,4.4,7.7,21.4,8.7,95.4,95.9,.,-1,.,-1,0,9.1,-1,-1,50,-1,0,1,1.7,13.8,7.3,95.7,95.8,76,74,57.9,60.4,0,1.8,2.7,19.7,13.3,95.9,96.1,43.5,30.8,46,32.4,14.7,19.4,72,83,67.4,78.9,0,1.8,3,12.9,7.4,95.8,96,-1,28.6,50,20,7.3,14,76,74,58.6,70.8,.,-1,-1,-1,-1,93.2,94,.,-1,.,-1,.,-1,-1,-1,.,.,'003902,0,0,0,0,0,96.9,96.1,73,67,.,-1,0,1.2,2,13.9,9.2,96.4,96.5,63.2,47.1,58.8,48,14.2,13.8,80,64,50.8,62.7,-1,0,0,-1,0,97.9,97.6,.,.,.,.,-1,-1,-1,-1,.,-1,0,2.9,4.1,9.5,3.1,94.8,95,69,67,31.1,48.9,0,1.3,2,0,1.1,95,94.6,27,18,0,7.1,0,1.3,2,17.8,12.3,96.3,96.4,52.6,41.2,52.4,44.7,17,17.6,-1,-1,61.3,70.6,2007
